wrist_position,value_X_Axis,value_Y_Axis,value_Z_Axis,seq,seq_num,server_epoch_ms
left,0.0342084541916847,-0.090408056974411,-0.0610865242779254,seq,16764.0,1721412758275256400
left,0.1844813078641891,-0.0574213340878486,-0.0965167060494422,seq,16765.0,1721412758294224400
left,0.1881465017795562,-0.0867428630590438,-0.098960168659687,seq,16766.0,1721412758303342100
left,0.130725160241127,-0.1197295859456062,-0.0891863256692886,seq,16767.0,1721412758320290500
left,0.107512280344963,-0.1233947798609733,-0.0635299831628799,seq,16768.0,1721412758338305400
left,0.0354301854968071,-0.1685988008975982,-0.0403171069920063,seq,16769.0,1721412758374075300
left,0.0109955742955207,-0.1661553531885147,-0.0219911485910415,seq,16770.0,1721412758394112100
left,-0.0024434609804302,-0.1637118905782699,-0.0061086523346602,seq,16771.0,1721412758406063900
left,0.0134390350431203,-0.1466076523065567,-0.0244346093386411,seq,16772.0,1721412758427100300
left,0.0525344125926494,-0.0977384373545646,-0.0439822971820831,seq,16773.0,1721412758448882500
left,0.0610865242779254,-0.0537561401724815,-0.0525344125926494,seq,16774.0,1721412758468862500
left,0.0427605658769607,-0.0378736443817615,-0.0525344125926494,seq,16775.0,1721412758478930900
left,0.0,-0.0073303831741213,-0.0329867228865623,seq,16776.0,1721412758506883500
left,-0.0342084541916847,0.0354301854968071,-0.0415388382971286,seq,16777.0,1721412758523924700
left,-0.0024434609804302,0.0733038261532783,-0.0500909499824047,seq,16778.0,1721412758544650700
left,0.0183259565383195,0.1062905490398407,-0.0427605658769607,seq,16779.0,1721412758573714600
left,0.0061086523346602,0.1209513172507286,-0.0268780700862407,seq,16780.0,1721412758598710400
left,-0.0219911485910415,0.1270599663257599,-0.0109955742955207,seq,16781.0,1721412758624760900
left,-0.0293215326964855,0.1429424732923507,0.0,seq,16782.0,1721412758643866800
left,-0.0366519130766391,0.1539380401372909,0.0146607663482427,seq,16783.0,1721412758671537600
left,-0.051312681287527,0.1539380401372909,0.0280998013913631,seq,16784.0,1721412758695564100
left,-0.0647517144680023,0.157603234052658,0.0403171069920063,seq,16785.0,1721412758727529300
left,-0.067195177078247,0.1514945775270462,0.0476474873721599,seq,16786.0,1721412758741578800
left,-0.0769690200686454,0.1282816976308822,0.0525344125926494,seq,16787.0,1721412758749328000
left,-0.0525344125926494,0.1209513172507286,0.0476474873721599,seq,16788.0,1721412758763361800
left,-0.0403171069920063,0.1099557429552078,0.0452040284872055,seq,16789.0,1721412758811596500
left,-0.0232128798961639,0.0928515195846557,0.0415388382971286,seq,16790.0,1721412758830662600
left,-0.0097738439217209,0.0830776765942573,0.0464257597923278,seq,16791.0,1721412758845335700
left,-0.0317649915814399,0.0036651915870606,0.0818559452891349,seq,16792.0,1721412758859372300
left,0.3433062732219696,0.1991420686244964,-0.0769690200686454,seq,16793.0,1721412758873276400
left,-0.051312681287527,0.0366519130766391,0.1331686228513717,seq,16794.0,1721412758891276700
left,0.1111774742603302,0.1014036312699318,0.0207694191485643,seq,16795.0,1721412758906312400
left,0.1466076523065567,0.1111774742603302,0.0232128798961639,seq,16796.0,1721412758919380500
left,0.0940732508897781,0.0794124826788902,0.0403171069920063,seq,16797.0,1721412758928381100
left,0.167377084493637,0.1233947798609733,0.0183259565383195,seq,16798.0,1721412758945597300
left,0.1282816976308822,0.1233947798609733,0.0293215326964855,seq,16799.0,1721412758982664200
left,0.1368338167667389,0.1282816976308822,0.0256563406437635,seq,16800.0,1721412758999664500
left,0.157603234052658,0.1380555480718612,0.0085521135479211,seq,16801.0,1721412759024560500
left,0.1368338167667389,0.1233947798609733,0.0134390350431203,seq,16802.0,1721412759037569500
left,0.1209513172507286,0.1026253625750541,0.0195476878434419,seq,16803.0,1721412759055885700
left,0.1246165111660957,0.1001818999648094,0.0122173046693205,seq,16804.0,1721412759080969200
left,0.0977384373545646,0.0916297882795333,0.0256563406437635,seq,16805.0,1721412759110973700
left,0.1185078546404838,0.1001818999648094,0.0232128798961639,seq,16806.0,1721412759132079600
left,0.1136209368705749,0.1038470938801765,0.0232128798961639,seq,16807.0,1721412759147007700
left,0.0806342139840126,0.0952949747443199,0.0317649915814399,seq,16808.0,1721412759160023600
left,0.117286130785942,0.1197295859456062,0.0232128798961639,seq,16809.0,1721412759182002300
left,0.1246165111660957,0.1295034289360046,0.0183259565383195,seq,16810.0,1721412759209008000
left,0.0781907513737678,0.1319468915462494,0.0293215326964855,seq,16811.0,1721412759219952100
left,0.0354301854968071,0.130725160241127,0.0476474873721599,seq,16812.0,1721412759228018100
left,0.0293215326964855,0.1392772793769836,0.0427605658769607,seq,16813.0,1721412759243128600
left,0.0537561401724815,0.157603234052658,0.0317649915814399,seq,16814.0,1721412759263863800
left,0.1087340116500854,0.180816113948822,0.0158824957907199,seq,16815.0,1721412759288944400
left,0.1014036312699318,0.1747074574232101,0.0134390350431203,seq,16816.0,1721412759300938500
left,0.0464257597923278,0.1649336218833923,0.0305432621389627,seq,16817.0,1721412759325055600
left,0.0537561401724815,0.1624901592731475,0.0256563406437635,seq,16818.0,1721412759340128800
left,0.0891863256692886,0.1820378452539444,0.0195476878434419,seq,16819.0,1721412759363814500
left,0.1123992055654525,0.1893682330846786,0.0171042270958423,seq,16820.0,1721412759383808900
left,0.1270599663257599,0.1918116807937622,0.0158824957907199,seq,16821.0,1721412759406710100
left,0.0696386396884918,0.1759291887283325,0.0378736443817615,seq,16822.0,1721412759423758400
left,0.0623082555830478,0.1698205322027206,0.0415388382971286,seq,16823.0,1721412759455611400
